😀	smileys	grinning face cheerful cheery grin happy laugh nice smile smiling teeth grinningface
😃	smileys	grinning face with big eyes awesome grin happy mouth open smile smiling teeth yay grinningfacebigeyes grinningface bigeyes
😄	smileys	grinning face with smiling eyes eye grin happy laugh lol mouth open smile grinningfacesmilingeyes grinningface smilingeyes
😁	smileys	beaming face with smiling eyes eye grin grinning happy nice smile teeth beamingfacesmilingeyes beamingface smilingeyes
😆	smileys	grinning squinting face closed eyes haha hahaha happy laugh lol mouth open rofl smile smiling grinningsquintingface grinningsquinting squintingface
😅	smileys	grinning face with sweat cold dejected excited mouth nervous open smile smiling stress stressed grinningfacesweat grinningface
🤣	smileys	rolling on the floor laughing crying face funny haha happy hehe hilarious joy laugh lmao lol rofl roflmao tear rollingfloorlaughing floorlaughing
😂	smileys	face with tears of joy crying feels funny haha happy hehe hilarious laugh lmao lol rofl roflmao tear facetearsjoy
🙂	smileys	slightly smiling face happy smile slightlysmilingface slightlysmiling smilingface
🙃	smileys	upside down face hehe smile upsidedownface upsidedown downface
🫠	smileys	melting face disappear dissolve embarrassed haha heat hot liquid lol melt sarcasm sarcastic meltingface
😉	smileys	winking face flirt heartbreaker sexy slide tease wink winks winkingface
😊	smileys	smiling face with eyes blush eye glad satisfied smile smilingfacesmilingeyes smilingface smilingeyes
😇	smileys	smiling face with halo angel angelic angels blessed fairy fairytale fantasy happy innocent peaceful smile spirit tale smilingfacehalo smilingface
🥰	smileys	smiling face with hearts 3 adore crush heart ily love romance smile you smilingfacehearts smilingface
😍	smileys	smiling face with heart eyes 143 bae eye feels hearts ily kisses love romance romantic smile xoxo smilingfacehearteyes smilingface hearteyes
🤩	smileys	star struck excited eyes face grinning smile starry eyed wow starstruck
😘	smileys	face blowing a kiss adorbs bae flirt heart ily love lover miss muah romantic smooch xoxo you faceblowingkiss faceblowing
😗	smileys	kissing face 143 date dating flirt ily kiss love smooch smooches xoxo you kissingface
☺️	smileys	smiling face happy outlined relaxed smile smilingface
😚	smileys	kissing face with closed eyes 143 bae blush date dating eye flirt ily kisses smooches xoxo kissingfaceclosedeyes kissingface closedeyes
😙	smileys	kissing face with smiling eyes 143 closed date dating eye flirt ily kiss kisses love night smile kissingfacesmilingeyes kissingface smilingeyes
🥲	smileys	smiling face with tear glad grateful happy joy pain proud relieved smile smiley touched smilingfacetear smilingface
😋	smileys	face savoring food delicious eat full hungry savor smile smiling tasty um yum yummy facesavoringfood facesavoring savoringfood
